steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
411750,Brick Inventions,game,4.99,2016-03-23 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/411750/header.jpg?t=1476641206
411960,TY the Tasmanian Tiger,game,14.99,2016-12-12 00:00:00,,1407.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/411960/header.jpg?t=1490025977
412130,Era of Majesty,game,5.99,2016-02-26 00:00:00,,214.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412130/header.jpg?t=1495590497
412170,City of Chains,game,8.99,2015-12-08 00:00:00,,201.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412170/header.jpg?t=1505857209
412290,The Dreamlord,game,3.99,2016-12-13 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412290/header.jpg?t=1481657875
412460,Villagers,game,19.99,2016-03-25 00:00:00,,242.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/412460/header.jpg?t=1498133639
412480,Turtle Odyssey,game,2.99,2015-10-21 00:00:00,,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412480/header.jpg?t=1447378571
412660,Klang,game,14.99,2016-09-22 00:00:00,71.0,,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412660/header.jpg?t=1497804536
412730,Days Under Custody,game,4.99,2015-11-23 00:00:00,,141.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/412730/header.jpg?t=1455020803
412760,Revolve,game,9.99,2017-02-14 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412760/header.jpg?t=1492519059
412770,Boogeyman,game,7.99,2015-11-02 00:00:00,,283.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412770/header.jpg?t=1493252792
412940,Back to Dinosaur Island,game,0.0,2015-11-18 00:00:00,,555.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/412940/header.jpg?t=1478096315
413420,Danganronpa 2: Goodbye Despair,game,19.99,2016-04-18 00:00:00,83.0,2779.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/413420/header.jpg?t=1478567931
413710,Blood and Gold: Caribbean!,game,19.99,2015-12-10 00:00:00,,737.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/413710/header.jpg?t=1500886486
414060,iso-Sphere,game,1.99,2015-11-13 00:00:00,,,1,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/414060/header.jpg?t=1494621841
414340,Hellblade: Senua's Sacrifice,game,29.99,2017-08-07 00:00:00,83.0,8345.0,1,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/414340/header.jpg?t=1506091022
414510,5089: The Action RPG,game,7.99,2016-02-03 00:00:00,,256.0,1,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/414510/header.jpg?t=1494340275
